Stato;Popolazione;Religione;Pil pro capite;Regione;Calorie;AIDS x 100000 ab
Corea Sud;45,000;Protest.;6,627;Asia / Pacifico;;19
Filippine;69,800;Cattol.;867;Asia / Pacifico;2,375;136
Giappone;125,500;Buddista;19,860;Asia / Pacifico;2,956;713
Hong Kong;5,800;Buddista;14,641;Asia / Pacifico;;99
India;911,600;Indù;275;Asia / Pacifico;2,229;713
Indonesia;199,700;Musulm.;681;Asia / Pacifico;2,750;49
Malaysia;19,500;Musulm.;2,995;Asia / Pacifico;2,774;107
Pakistan;128,100;Musulm.;406;Asia / Pacifico;;41
Singapore;2,900;Taoista;14,990;Asia / Pacifico;3,198;75
Tailandia;59,400;Buddista;1,800;Asia / Pacifico;2,316;5,654
Taiwan;20,944;Buddista;7,055;Asia / Pacifico;;
Vietnam;73,100;Buddista;230;Asia / Pacifico;2,233;107
Bielorussia;10,300;Ortodos.;6,500;Europa orientale;;10
Bosnia;4,600;Musulm.;3,098;Europa orientale;;
Bulgaria;8,900;Ortodos.;3,831;Europa orientale;;24
Croazia;4,900;Cattol.;5,487;Europa orientale;;56
Estonia;1,600;Protest.;6,000;Europa orientale;;3
Georgia;5,500;Ortodos.;4,500;Europa orientale;;2
Lettonia;2,700;Protest.;7,400;Europa orientale;;8
Lituania;3,800;Cattol.;6,710;Europa orientale;;5
Polonia;38,600;Cattol.;4,429;Europa orientale;;201
Rep.Ceca;10,400;Cattol.;7,311;Europa orientale;3,632;48
Romania;23,400;Ortodos.;2,702;Europa orientale;3,155;2,736
Russia;149,200;Ortodos.;6,680;Europa orientale;;136
Ucraina;51,800;Ortodos.;2,340;Europa orientale;;27
Ungheria;10,500;Cattol.;5,249;Europa orientale;3,644;149
Arabia Saud.;18,000;Musulm.;6,651;Medio oriente;2,874;61
Armenia;3,700;Ortodos.;5,000;Medio oriente;;2
Azerbaijan;7,400;Musulm.;3,000;Medio oriente;;
Bahrain;600;Musulm.;7,875;Medio oriente;;13
Egitto;60,000;Musulm.;748;Medio oriente;3,336;91
Emirati Arab;2,800;Musulm.;14,193;Medio oriente;;8
Giordania;3,961;Musulm.;1,157;Medio oriente;2,634;31
Iran;65,600;Musulm.;1,500;Medio oriente;3,181;92
Iraq;19,900;Musulm.;1,955;Medio oriente;2,887;26
Israele;5,400;Ebraica;13,066;Medio oriente;;279
Kuwait;1,800;Musulm.;6,818;Medio oriente;3,195;10
Libano;3,620;Musulm.;1,429;Medio oriente;;72
Libia;5,500;Musulm.;5,910;Medio oriente;3,324;10
Oman;1,900;Musulm.;7,467;Medio oriente;;33
Siria;14,900;Musulm.;2,436;Medio oriente;;26
Turchia;62,200;Musulm.;3,721;Medio oriente;3,236;130
Uzbekistan;22,600;Musulm.;1,350;Medio oriente;;2
Australia;17,800;Protest.;16,848;OCSE;3,216;4,727
Austria;8,000;Cattol.;18,396;OCSE;3,495;1,150
Belgio;10,100;Cattol.;17,912;OCSE;;1,603
Canada;29,100;Cattol.;19,904;OCSE;3,482;9,511
Danimarca;5,200;Protest.;18,277;OCSE;3,628;1,411
Finlandia;5,100;Protest.;15,877;OCSE;3,253;158
Francia;58,000;Cattol.;18,944;OCSE;3,465;30,003
Germania;81,200;Protest.;17,539;OCSE;3,443;11,179
Gran Bretag.;58,400;Protest.;15,974;OCSE;3,149;9,025
Grecia;10,400;Ortodos.;8,060;OCSE;3,825;916
Irlanda;3,600;Cattol.;12,170;OCSE;3,778;392
Islanda;263;Protest.;17,241;OCSE;;31
Italia;58,100;Cattol.;17,500;OCSE;3,504;21,770
Norvegia;4,300;Protest.;17,755;OCSE;3,326;375
Nuova Zeland;3,524;Protest.;14,381;OCSE;3,362;431
Olanda;15,400;Cattol.;17,245;OCSE;3,151;3,055
Portogallo;10,500;Cattol.;9,000;OCSE;;1,811
Spagna;39,200;Cattol.;13,047;OCSE;3,572;24,202
Stati Uniti;260,800;Protest.;23,474;OCSE;3,671;411,907
Svezia;8,800;Protest.;16,900;OCSE;2,960;1,001
Svizzera;7,000;Cattol.;22,384;OCSE;3,562;3,662
